OriginalPath,Station,Year,CopyName,Status,Reason
\\geodata\Ice\FIELDWORK\2023\NUK\maintenance_sheets\NUK_L_maintenance_sheets.pdf,NUK_L,2023,NUK_L_2023.pdf,Copied,
\\geodata\Ice\FIELDWORK\2023\TAS\TAS_A\MaintenanceSheets_TasA_And_Snowfox.pdf,TAS_A,2023,TAS_A_2023.pdf,Copied,
\\geodata\Ice\FIELDWORK\2023\THU\THU_L maintenance sheet.pdf,THU_L,2023,THU_L_2023.pdf,Copied,
\\geodata\Ice\FIELDWORK\2023\THU\THU_L2 maintenance sheet.pdf,THU_L2,2023,THU_L2_2023.pdf,Copied,
\\geodata\Ice\FIELDWORK\2023\UPE\UPE_U\upe_u_maint_sheet_p1.jpg,UPE_U,2023,UPE_U_2023.jpg,Copied,
\\geodata\Ice\FIELDWORK\2023\UPE\UPE_U\upe_u_maint_sheet_p2.jpg,UPE_U,2023,UPE_U_2023_2.jpg,Copied,
\\geodata\Ice\FIELDWORK\2024\GC-Net NE\EGP\Maintenance sheets\EGP_Maintenance_sheet_p1.jpg,EGP,2024,EGP_2024.jpg,Copied,
\\geodata\Ice\FIELDWORK\2024\GC-Net NE\EGP\Maintenance sheets\EGP_Maintenance_sheet_p2.jpg,EGP,2024,EGP_2024_2.jpg,Copied,
\\geodata\Ice\FIELDWORK\2024\GC-Net NE\NAE\Maintenance sheets\NAE_Maintenance_sheet_p1.jpg,NAE,2024,NAE_2024.jpg,Copied,
\\geodata\Ice\FIELDWORK\2024\GC-Net NE\NAE\Maintenance sheets\NAE_Maintenance_sheet_p2.jpg,NAE,2024,NAE_2024_2.jpg,Copied,
\\geodata\Ice\FIELDWORK\2024\GC-Net South\CP1\maintenance sheets\Maintenance_sheet_CP1_May2024.pdf,CP1,2024,CP1_2024.pdf,Copied,
\\geodata\Ice\FIELDWORK\2024\GC-Net South\DY2\maintenance sheets\Maintenance_sheet_DY2-SF_May2024.pdf,DY2,2024,DY2_2024.pdf,Copied,SnowFox variant
\\geodata\Ice\FIELDWORK\2024\GC-Net South\DY2\maintenance sheets\Maintenance_sheet_DY2_May2024.pdf,DY2,2024,DY2_2024_2.pdf,Copied,
\\geodata\Ice\FIELDWORK\2024\GC-Net South\KAN_T\Maintenance sheets\Maintenance_sheet_KAN-T_May2024.pdf,KAN_Tv3,2024,KAN_Tv3_2024.pdf,Copied,Official list has KAN_Tv3 only; path omits version suffix
\\geodata\Ice\FIELDWORK\2024\GC-Net South\KAN_U\maintenance sheets\Maintenance_sheet_KAN-U_May2024.pdf,KAN_U,2024,KAN_U_2024.pdf,Copied,
\\geodata\Ice\FIELDWORK\2024\GC-Net South\NSE\maintenance sheets\Maintenance_sheet_NSE_May2024.pdf,NSE,2024,NSE_2024.pdf,Copied,
\\geodata\Ice\FIELDWORK\2024\GC-Net South\SDL\maintenance sheets\Maintenance_sheet_SDL_May2024.pdf,SDL,2024,SDL_2024.pdf,Copied,
\\geodata\Ice\FIELDWORK\2024\GC-Net South\SDM\maintenance sheets\Maintenance_sheet_SDM_May2024.pdf,SDM,2024,SDM_2024.pdf,Copied,
\\geodata\Ice\FIELDWORK\2024\QAS\QAS_L_v2\Maintenance Sheets QAS_Lv2 1 Sep 2024.pdf,,2024,,Skip-Ambiguous,QAS_Lv2 not in official list (only QAS_L and QAS_Lv3 exist)
\\geodata\Ice\FIELDWORK\2024\QAS\QAS_L_v3\Maintenance Sheets QAS_Lv3 1 Sep 2024.pdf,QAS_Lv3,2024,QAS_Lv3_2024.pdf,Copied,
\\geodata\Ice\FIELDWORK\2024\QAS\QAS_M_v3\Maintenance Sheets QAS_Mv3 1 Sep 2024.pdf,QAS_Mv3,2024,QAS_Mv3_2024.pdf,Copied,
\\geodata\Ice\FIELDWORK\2024\QAS\QAS_U_sf\Maintenance Sheets QAS_U Snow Fox 1 Sep 2024.pdf,QAS_U,2024,QAS_U_2024.pdf,Copied,SnowFox variant
\\geodata\Ice\FIELDWORK\2024\QAS\QAS_U_v3\Maintenance Sheets QAS_Uv3 27 Aug and 1 Sep 2024.pdf,QAS_Uv3,2024,QAS_Uv3_2024.pdf,Copied,
\\geodata\Ice\FIELDWORK\2024\SCO\SCO_L\SCO_L maintenance sheet 2024.pdf,SCO_L,2024,SCO_L_2024.pdf,Copied,
\\geodata\Ice\FIELDWORK\2024\SCO\SCO_U\SCO_U maintenance sheet 2024.pdf,SCO_U,2024,SCO_U_2024.pdf,Copied,
\\geodata\Ice\FIELDWORK\2024\SWC_JAR\jar_o\Maintenance Sheets JAR_O 19 Aug 2024.pdf,JAR_O,2024,JAR_O_2024.pdf,Copied,
\\geodata\Ice\FIELDWORK\2024\SWC_JAR\swc_o\Maintenance Sheets SWC_O 19 Aug 2024.pdf,SWC_O,2024,SWC_O_2024.pdf,Copied,
